Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.19869277,0.16370957,0.9240682777777778,0.6696424110211873,0.5714015993627346,0.6166305855705231,0.4462657176796207
0.17383425,0.16357577,0.9253098611111111,0.6965430175911154,0.5338371428958815,0.6044211980125173,0.43361786048918144
0.17332135,0.16399433,0.9248986111111112,0.7074040821911595,0.5068105790310261,0.5905362939547012,0.4195336612600933
0.17203163,0.15805124,0.9260898888888889,0.6698896492848868,0.609312129111261,0.6381313551371318,0.46906517576202117
0.17088708,0.15653431,0.9277476944444444,0.6933027670950557,0.5816433519168243,0.6325581086354194,0.4630669654293052
0.1694551,0.15761985,0.9271632222222221,0.6523331725837416,0.6843878699450759,0.6678701995777222,0.5017537836863283
0.16864398,0.15693735,0.9289698611111111,0.7041565668199797,0.5783909989547569,0.6350929452240597,0.46598574762671313
0.1683556,0.15861003,0.9248018611111112,0.6237867007083625,0.7494152883763858,0.6807591523307854,0.5163993107862082
0.16792218,0.15174103,0.9305014444444444,0.675354008708449,0.6742137213508292,0.6747291860878676,0.5096842413249297
0.16652584,0.15698147,0.9285468333333333,0.7747943603752465,0.46615636763611956,0.5818948944414091,0.4112696628412779
0.16555694,0.15623967,0.9261839166666667,0.6316277549918067,0.743736832718905,0.6830472492751137,0.5190639775482867
0.16509975,0.17727773,0.9180309444444444,0.5840417870330051,0.8081516828687465,0.6780462436772532,0.513196451227701
0.16440648,0.15205841,0.9305738333333333,0.6717088491930635,0.6864781224356925,0.678986511421695,0.514554264272962
0.16361304,0.14844516,0.9321752499999999,0.7360660627440968,0.5692755480459368,0.6418817570097713,0.4734619680782761
0.16450803,0.15704061,0.9240440555555556,0.8267817269985342,0.3639639422893652,0.5046274852651985,0.33881705789956834
0.16219422,0.14643024,0.9328368055555556,0.7072085806504775,0.6346196625160246,0.6689392746155676,0.5031652609914541
0.16182014,0.14898427,0.9320544444444444,0.7327195141393409,0.5742765704445265,0.6438814059178903,0.47550086333872105
0.16124956,0.14809297,0.9314876111111111,0.6785847516220676,0.6824532875126422,0.6804925054154652,0.5163350184191619
0.16076833,0.14743136,0.9327771944444444,0.7006180137408746,0.648991285113642,0.6738004208314661,0.5086332031083084
0.1599892,0.15109466,0.9311386111111112,0.6700264572015316,0.7027139788102933,0.6859389971130798,0.5225101993597114
0.15992013,0.14834183,0.9321666111111111,0.7165179298443536,0.6034238524308152,0.6549863235139864,0.4878584382503594
0.15891923,0.14933309,0.9318873888888889,0.687633545142738,0.6658007472281332,0.6765264198468622,0.5117963098103141
0.15929031,0.14657436,0.9329721111111112,0.7216937242610532,0.6068257855801238,0.659271214615894,0.4924178749113697
0.15849462,0.15507157,0.9302132222222222,0.6641457047023637,0.7045988077217636,0.6837154210046982,0.5200055186007347
0.15779556,0.15195721,0.9289697777777778,0.7890245879145406,0.45672527575588934,0.5784482862572373,0.4077538834459174
0.15725374,0.15614678,0.9273272499999999,0.634060835839302,0.7607158076444341,0.691478874580349,0.5288378264238888
0.15643927,0.1472988,0.9324505833333333,0.7020468998647825,0.6396081034618896,0.6693697405220456,0.5035764716698248
0.1563057,0.15338786,0.9301987777777777,0.7664400310065131,0.4972564662553974,0.6028550570910695,0.43246437756878126
0.15584593,0.15448016,0.9291379444444444,0.7672282572893842,0.4818812541553085,0.5915749627376806,0.4210007630128865
0.15473421,0.15863991,0.9265730555555556,0.6306777425330302,0.7593127495308002,0.6889043871953048,0.5258789798840943
0.15268087,0.14857745,0.9317180833333333,0.6970677316957619,0.6391821511609688,0.6668260069589375,0.500620969847399
0.15217422,0.1501105,0.9301960833333333,0.7565512196587868,0.511092237324275,0.6100192259971736,0.43930103055793773
0.15258132,0.1514781,0.9298911666666667,0.7499512904995985,0.5153818412999541,0.6109235532791745,0.440368141742586
0.15086834,0.14934339,0.9316190833333334,0.7079734761702255,0.6136997484523344,0.6574319159916401,0.490287275272532
0.15020345,0.14972164,0.9320446944444445,0.7041266041112108,0.6283950139145201,0.6641061054448453,0.4977865764228129
0.14961728,0.15027161,0.9312715277777778,0.7258992603509977,0.5728834435017113,0.640355220149072,0.47178145557886325
0.1492312,0.1497749,0.9317691944444445,0.7008016196338952,0.6310684828669763,0.66410877945168,0.49779441329696494
0.1479254,0.15919583,0.9258841666666667,0.6352579146222027,0.7226938052909256,0.6760728475953312,0.5111385094759805
0.14732222,0.15123603,0.9302423333333333,0.6898690783103971,0.6323497320419895,0.6598464036226238,0.49313284404429053
0.14592756,0.15678747,0.9264476388888889,0.644669089745742,0.6968383620427621,0.6696580984992518,0.503841163463222
0.1453794,0.15158156,0.9311209166666666,0.722210767041715,0.5780141782793108,0.6421162583774366,0.4735413927456063
0.14453527,0.15903084,0.9271070555555555,0.6601328820358843,0.656732016654646,0.6583695563724387,0.49124075108911036
0.14432831,0.15706949,0.9268187222222223,0.64298965312528,0.7115718526000866,0.6754487905006273,0.5104799019885359
0.1431041,0.15607692,0.9296268333333333,0.6748651324903271,0.6603313671229761,0.6674793209477974,0.5014282641338272
0.14243215,0.15512817,0.9296618611111112,0.6900027855500704,0.623499413204891,0.6549638989202751,0.4875192768866114
0.14086798,0.15625912,0.9300333055555555,0.705141506421309,0.5945419276788353,0.6450694054531502,0.4765662475584262
0.14008336,0.15825762,0.9277721666666667,0.6550146919412034,0.6874906889765392,0.6707842823758376,0.5052226600042594
0.1391716,0.15640797,0.9296826111111112,0.692948711872814,0.6154607170487071,0.6518868098205183,0.48416647543315144
0.13930604,0.16044536,0.9288647222222223,0.7125970987046628,0.5598846610180797,0.627073136825045,0.4572318998097888
0.13761361,0.15858059,0.9276141944444444,0.6634735403299709,0.6578011481001073,0.6605013529963855,0.49361547966086744
